Nome,MAC,IP
OMEGA01,A4:5D:36:C2:80:26,192.168.26.11
OMEGA02,A4:5D:36:C2:AF:E0,192.168.26.12
OMEGA03,D8:9D:67:12:68:41,192.168.26.13
OMEGA04,D8:9D:67:12:A8:54,192.168.26.14
OMEGA05,2C:59:E5:BE:56:BC,192.168.26.15
OMEGA06,D8:9D:67:12:A4:F2,192.168.26.16
OMEGA07,A4:5D:36:C2:9D:6F,192.168.26.17
OMEGA08,D4:AE:52:FD:87:09,192.168.26.18
OMEGA09,D4:AE:52:FD:86:4A,192.168.26.19
OMEGA10,D4:AE:52:FD:86:A2,192.168.26.20
OMEGA11,D4:AE:52:FD:86:F8,192.168.26.21
OMEGA12,D4:AE:52:FD:85:AF,192.168.26.22
OMEGA13,D4:AE:52:FD:86:EE,192.168.26.23
OMEGA14,D4:AE:52:FD:88:FA,192.168.26.24
OMEGA15,D4:AE:52:FD:9E:3A,192.168.26.25
OMEGA16,D4:AE:52:FD:88:F3,192.168.26.26
OMEGA17,D4:AE:52:FD:88:7C,192.168.26.27
OMEGA18,D4:AE:52:FD:88:86,192.168.26.28
OMEGA19,D4:AE:52:FD:88:46,192.168.26.29
OMEGA20,D4:AE:52:FD:86:AB,192.168.26.30
OMEGA21,D4:AE:52:FD:87:CF,192.168.26.31
OMEGA22,D4:AE:52:FD:88:F1,192.168.26.32
OMEGA23,D4:AE:52:FD:88:8F,192.168.26.33
OMEGA24,D4:AE:52:FD:88:98,192.168.26.34
OMEGA25,D4:AE:52:FD:89:3D,192.168.26.35
OMEGA26,D4:AE:52:FD:89:3B,192.168.26.36
OMEGA27,D4:AE:52:FD:88:E3,192.168.26.37
OMEGA28,D4:AE:52:FD:88:EB,192.168.26.38
OMEGA29,D4:AE:52:FD:88:E7,192.168.26.39
OMEGA30,D4:AE:52:FD:88:F0,192.168.26.40